# Thet  eta  binding
243.91 26.46 0.39
244.23 26.46 0.39
244.56 26.46 0.40
244.88 26.46 0.40
245.20 26.46 0.40
245.53 26.46 0.41
245.85 26.46 0.41
246.17 26.46 0.41
246.49 26.46 0.41
246.82 26.46 0.42
247.14 26.46 0.42
247.46 26.46 0.42
247.79 26.46 0.43
248.11 26.46 0.43
248.43 26.46 0.43
248.76 26.46 0.44
249.08 26.46 0.44
249.40 26.46 0.44
249.73 26.46 0.44
250.05 26.46 0.45
250.37 26.46 0.45
250.70 26.46 0.45
251.02 26.46 0.46
251.34 26.46 0.46
251.67 26.46 0.46
251.99 26.46 0.46
252.31 26.46 0.47
252.64 26.46 0.47
252.96 26.46 0.47
253.28 26.46 0.47
253.61 26.46 0.48
253.93 26.46 0.48
254.25 26.46 0.48
254.58 26.46 0.48
254.90 26.46 0.49
255.22 26.46 0.49
255.55 26.46 0.49
255.87 26.46 0.49
256.19 26.46 0.49
256.52 26.46 0.50
256.84 26.46 0.50
257.16 26.46 0.50
257.48 26.46 0.50
257.81 26.46 0.51
258.13 26.46 0.51
258.45 26.46 0.51
258.78 26.46 0.51
259.10 26.46 0.52
259.42 26.46 0.52
259.75 26.46 0.52
260.07 26.46 0.52
260.39 26.46 0.53
260.72 26.46 0.53
261.04 26.46 0.53
261.36 26.46 0.53
261.69 26.46 0.54
262.01 26.46 0.54
262.33 26.46 0.54
262.66 26.46 0.54
262.98 26.46 0.55
263.30 26.46 0.55
263.63 26.46 0.55
263.95 26.46 0.55
264.27 26.46 0.56
264.60 26.46 0.56
264.92 26.46 0.56
265.24 26.46 0.56
265.57 26.46 0.56
265.89 26.46 0.57
266.21 26.46 0.57
266.54 26.46 0.57
266.86 26.46 0.57
267.18 26.46 0.57
267.51 26.46 0.57
267.83 26.46 0.58
268.15 26.46 0.58
268.47 26.46 0.58
268.80 26.46 0.58
269.12 26.46 0.58
269.44 26.46 0.58
269.77 26.46 0.58
270.09 26.46 0.58
270.41 26.46 0.58
270.74 26.46 0.58
271.06 26.46 0.58
271.38 26.46 0.58
271.71 26.46 0.58
272.03 26.46 0.58
272.35 26.46 0.58
272.68 26.46 0.58
273.00 26.46 0.58
241.00 28.08 0.37
241.32 28.08 0.37
241.65 28.08 0.37
241.97 28.08 0.38
242.29 28.08 0.38
242.62 28.08 0.38
242.94 28.08 0.38
243.26 28.08 0.39
243.59 28.08 0.39
243.91 28.08 0.39
244.23 28.08 0.39
244.56 28.08 0.40
244.88 28.08 0.40
245.20 28.08 0.40
245.53 28.08 0.41
245.85 28.08 0.41
246.17 28.08 0.41
246.49 28.08 0.41
246.82 28.08 0.42
247.14 28.08 0.42
247.46 28.08 0.42
247.79 28.08 0.43
248.11 28.08 0.43
248.43 28.08 0.43
248.76 28.08 0.44
249.08 28.08 0.44
249.40 28.08 0.44
249.73 28.08 0.44
250.05 28.08 0.45
250.37 28.08 0.45
250.70 28.08 0.45
251.02 28.08 0.46
251.34 28.08 0.46
251.67 28.08 0.46
251.99 28.08 0.46
252.31 28.08 0.47
252.64 28.08 0.47
252.96 28.08 0.47
253.28 28.08 0.47
